date_time,outgoing_volume
2023-01-05,0.3236305964304883
2023-01-06,0.6345578489511835
2023-01-07,0.4677681611499612
2023-01-08,0.38939483640009653
2023-01-09,0.3605860527003229
2023-01-10,0.4197908418580486
2023-01-11,0.5922429165473163
2023-01-12,0.6596061887911059
2023-01-13,0.5341082355653469
2023-01-14,0.5520787171172297
2023-01-15,0.5463717422729507
2023-01-16,0.38893185286373533
2023-01-17,0.5133762032836684
2023-01-18,0.5523842751528647
2023-01-19,0.5702916451941392
2023-01-20,0.5716778280544599
2023-01-21,0.5223498680630568
2023-01-22,0.5128202247965702
2023-01-23,0.48608675527036743
2023-01-24,0.4902130931759796
2023-01-25,0.5539931348257059
2023-01-26,0.7955663652007278
2023-01-27,0.6612171216097321
2023-01-28,0.6740585455995906
2023-01-29,0.4790175402403886
2023-01-30,0.5209411809582041
2023-01-31,0.7285756368364348
2023-02-01,0.5799982320992805
2023-02-02,0.6794581130935039
2023-02-03,0.6381366370062556
2023-02-04,0.5866516876053683
2023-02-05,0.5227222119217713
2023-02-06,0.5556392587796697
2023-02-07,0.5120549664760927
2023-02-08,0.6133220769618936
2023-02-09,0.706832638662365
2023-02-10,0.6314054420067562
2023-02-11,0.6462743316099189
2023-02-12,0.6166985941056125
2023-02-13,0.5704251003983766
2023-02-14,0.6668299964406874
2023-02-15,0.733991882560813
2023-02-16,0.7455479215708629
2023-02-17,0.6783133244528509
2023-02-18,0.7277769811004652
2023-02-19,0.600630148189468
2023-02-20,0.6411353997328475
2023-02-21,0.6165179696964106
2023-02-22,0.6821697172916281
2023-02-23,0.7383809430020303
2023-02-24,0.9451901988742586
2023-02-25,0.6785340312876964
2023-02-26,0.6714099643493773
2023-02-27,0.5844045636329245
2023-02-28,0.7671476492424175
2023-03-01,0.7597783892866358
2023-03-02,0.6782102685017575
2023-03-03,0.8996935960124491
2023-03-04,0.7110676807651288
2023-03-05,0.6634873900586963
2023-03-06,0.6827584416626656
2023-03-07,0.6916808830125976
2023-03-08,0.7319907208604732
2023-03-09,0.6353590708040009
2023-03-10,0.7775920737668605
2023-03-11,0.6845875848947616
2023-03-12,0.8434025319722007
2023-03-13,0.7091865000231249
2023-03-14,0.7310305310127747
2023-03-15,0.6973210051459594
2023-03-16,0.7617743563661199
2023-03-17,0.674572503360412
2023-03-18,0.7771321308629732
2023-03-19,0.6818451586154195
2023-03-20,0.6911044921117027
2023-03-21,0.7309344836094019
2023-03-22,0.8694339265434671
2023-03-23,0.2907445006125042
2023-03-24,0.3965746407699347
2023-03-25,0.45394643395684353
2023-03-26,0.6634401193383823
2023-03-27,0.7570125125547519
2023-03-28,0.80149293822522
2023-03-29,0.6767541971267149
2023-03-30,0.7454419670174336
2023-03-31,0.938802327684693
2023-04-01,0.7492066025979941
2023-04-02,0.7442299337832855
2023-04-03,0.6211199141967149
2023-04-04,0.744958800157978
2023-04-05,0.8424912245630726
2023-04-06,0.7335940320199675
2023-04-07,0.8141724840126356
2023-04-08,0.7501999885645545
2023-04-09,0.6822027817600005
2023-04-10,0.7088044267625717
2023-04-11,0.7008228101662921
2023-04-12,0.8276835292110882
2023-04-13,0.7816930092062903
2023-04-14,0.8385795350588865
2023-04-15,0.6993981980794494
2023-04-16,0.6583564820208855
2023-04-17,0.6413617184448955
2023-04-18,0.7056368140770053
2023-04-19,0.8314502097719619
2023-04-20,0.8029714583078561
2023-04-21,0.8441252567768128
2023-04-22,0.735777328624315
2023-04-23,0.7147000724751572
2023-04-24,0.6005599553226136
2023-04-25,0.6564525476371744
2023-04-26,0.665456734529758
2023-04-27,0.7085677542393956
2023-04-28,0.7801915352892204
2023-04-29,0.932333468196434
2023-04-30,0.6345394169408363
2023-05-01,0.7583100324196052
2023-05-02,0.7815304815574047
2023-05-03,0.7343702982637009
2023-05-04,0.8090588801789093
2023-05-05,0.8577291549536288
2023-05-06,0.78140966443144
2023-05-07,0.6948865011738007
2023-05-08,0.7663029835788199
2023-05-09,0.5830559763358814
2023-05-10,0.683535928100896
2023-05-11,0.736846579039676
2023-05-12,0.769883217676135
2023-05-13,0.8690195324202228
2023-05-14,0.7732693086408385
2023-05-15,0.8654924554314443
2023-05-16,0.794344468281751
2023-05-17,0.8618814694380473
2023-05-18,0.7564235608400288
2023-05-19,0.8542638892380335
2023-05-20,0.842197561936492
2023-05-21,0.7461845775554301
2023-05-22,0.9388316748271807
2023-05-23,0.8080679741756304
2023-05-24,0.8629429414137627
2023-05-25,0.799316030933487
2023-05-26,0.9427861845104363
2023-05-27,0.8887068984514799
2023-05-28,0.7408050895398292
2023-05-29,0.8021256038870431
2023-05-30,0.7609150431192891
2023-05-31,0.8734981844758355
2023-06-01,0.9037202597640175
2023-06-02,0.9229609416629863
2023-06-03,0.7773063229444479
2023-06-04,0.70225008683714
2023-06-05,0.7040660757186914
2023-06-06,0.7599755189430831
2023-06-07,0.8922442975407938
2023-06-08,0.8162414618898894
2023-06-09,0.8265860762491817
2023-06-10,0.7461163548484736
2023-06-11,0.7227844586739479
2023-06-12,0.7640175863662177
2023-06-13,0.6794482775070605
2023-06-14,0.47801219295636976
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.10222569030704244
2023-06-21,0.6669001843507073
2023-06-22,0.8028147620404845
2023-06-23,0.9862314447580262
2023-06-24,0.8537580080241264
2023-06-25,0.7865877184546224
2023-06-26,0.773897091255506
2023-06-27,0.8887881834571093
2023-06-28,0.8199753744408066
2023-06-29,0.8336278110608237
2023-06-30,0.8753180600711042
